2023-01-20 05:55:02: Client ('127.0.10.10', 50001) is connecting to server.
2023-01-20 05:55:52: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:55:53: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:55:53: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:55:53: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:55:53: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:55:54: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:55:54: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:55:54: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:55:54: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:55:54: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:55:55: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:55:55: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:55:55: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:55:55: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:55:55: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:55:55: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:55:56: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:55:56: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:55:56: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:55:56: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:55:56: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:55:56: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:55:57: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:55:58: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:55:58: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:55:59: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:55:59: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:55:59: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:55:59: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:56:00: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:56:00: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:56:00: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:56:00: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:56:00: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:56:01: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:56:01: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:56:01: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:56:01: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:56:01: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
